Test MSE,Train loss,Valid MSE,epoch,step
,,300820.5,0,0
,,296570.34375,1,1
,,290583.15625,2,2
,,282560.3125,3,3
,,272142.34375,4,4
,,259123.40625,5,5
,,243367.828125,6,6
,,224825.265625,7,7
,,203533.484375,8,8
,,179681.921875,9,9
,,153626.625,10,10
,,125962.8046875,11,11
,,97584.8203125,12,12
,,69757.8671875,13,13
,,44183.71875,14,14
,,23024.58203125,15,15
,,8785.6318359375,16,16
,,3818.94677734375,17,17
,,9035.767578125,18,18
,,21838.490234375,19,19
,,35623.36328125,20,20
,,43757.76171875,21,21
,,43832.9609375,22,22
,,37433.29296875,23,23
,,27794.89453125,24,24
,,18024.623046875,25,25
,,10266.7294921875,26,26
,,5509.005859375,27,27
,,3754.841064453125,28,28
,,4366.9892578125,29,29
,,6432.6884765625,30,30
,,9048.8603515625,31,31
,,11488.974609375,32,32
,,13265.58203125,33,33
,,14126.005859375,34,34
,,14016.931640625,35,35
,,13040.34375,36,36
,,11410.625,37,37
,,9413.96484375,38,38
,,7367.55810546875,39,39
,,5575.92431640625,40,40
,,4284.36083984375,41,41
,,3634.531982421875,42,42
,,3632.610595703125,43,43
,,4143.9248046875,44,44
,,4924.6484375,45,45
,,5688.69482421875,46,46
,,6190.59716796875,47,47
,,6293.630859375,48,48
,6293.630859375,,49,49
,,5996.94140625,49,49
,,5414.70166015625,50,50
,,4721.75537109375,51,51
,,4091.028564453125,52,52
,,3645.49755859375,53,53
,,3436.0166015625,54,54
,,3444.6220703125,55,55
,,3605.01220703125,56,56
,,3829.762939453125,57,57
,,4035.586669921875,58,58
,,4161.39697265625,59,59
,,4177.39404296875,60,60
,,4085.68505859375,61,61
,,3914.22705078125,62,62
,,3706.406982421875,63,63
,,3508.789794921875,64,64
,,3359.513671875,65,65
,,3279.78173828125,66,66
,,3270.22216796875,67,67
,,3312.97705078125,68,68
,,3378.733154296875,69,69
,,3436.465087890625,70,70
,,3462.7021484375,71,71
,,3447.419677734375,72,72
,,3394.9658203125,73,73
,,3320.344482421875,74,74
,,3242.7900390625,75,75
,,3179.174560546875,76,76
,,3139.36767578125,77,77
,,3124.627197265625,78,78
,,3128.85791015625,79,79
,,3141.784423828125,80,80
,,3152.6923828125,81,81
,,3153.569580078125,82,82
,,3140.8955078125,83,83
,,3115.85791015625,84,84
,,3083.19921875,85,85
,,3049.237060546875,86,86
,,3019.735595703125,87,87
,,2998.254638671875,88,88
,,2985.390380859375,89,89
,,2979.03515625,90,90
,,2975.447509765625,91,91
,,2970.691650390625,92,92
,,2961.932861328125,93,93
,,2948.178466796875,94,94
,,2930.286865234375,95,95
,,2910.373046875,96,96
,,2890.88427734375,97,97
,,2873.7265625,98,98
,2873.725830078125,,99,99
,,2859.72900390625,99,99
2859.72900390625,,,100,100
