epoch,step,test_MSE,train_loss,val_loss,val_mse
0,2,,,30378.337890625,30378.337890625
1,5,,,22401.921875,22401.921875
2,8,,,36762.34375,36762.34375
3,11,,,29509.384765625,29509.384765625
4,14,,,3834.151611328125,3834.151611328125
5,17,,,12960.3583984375,12960.3583984375
6,20,,,3507.230712890625,3507.230712890625
7,23,,,5398.6064453125,5398.6064453125
8,26,,,5563.8564453125,5563.8564453125
9,29,,,3404.906005859375,3404.906005859375
10,32,,,3774.5703125,3774.5703125
11,35,,,3633.964111328125,3633.964111328125
12,38,,,3035.377685546875,3035.377685546875
13,41,,,2849.22705078125,2849.22705078125
14,44,,,3594.710205078125,3594.710205078125
15,47,,,2918.471923828125,2918.471923828125
16,49,,2871.18896484375,,
16,50,,,2798.49365234375,2798.49365234375
17,53,,,2616.9794921875,2616.9794921875
18,56,,,2667.64208984375,2667.64208984375
19,59,,,2782.390380859375,2782.390380859375
20,62,,,2162.1962890625,2162.1962890625
21,65,,,2087.547607421875,2087.547607421875
22,68,,,2654.85498046875,2654.85498046875
23,71,,,5229.76953125,5229.76953125
24,74,,,2650.973388671875,2650.973388671875
25,77,,,1716.1326904296875,1716.1326904296875
26,80,,,3053.173828125,3053.173828125
27,83,,,2578.15283203125,2578.15283203125
28,86,,,2293.587646484375,2293.587646484375
29,89,,,1489.3248291015625,1489.3248291015625
30,92,,,1662.30224609375,1662.30224609375
31,95,,,1378.6702880859375,1378.6702880859375
32,98,,,1332.6988525390625,1332.6988525390625
33,99,,1608.3143310546875,,
33,101,,,1332.6937255859375,1332.6937255859375
34,104,,,2062.461181640625,2062.461181640625
35,107,,,1718.158203125,1718.158203125
36,110,,,1295.0220947265625,1295.0220947265625
37,113,,,1274.33447265625,1274.33447265625
38,116,,,1394.657470703125,1394.657470703125
39,119,,,1177.1253662109375,1177.1253662109375
40,122,,,1144.1834716796875,1144.1834716796875
41,125,,,1192.292236328125,1192.292236328125
42,128,,,1331.7955322265625,1331.7955322265625
43,131,,,2382.65478515625,2382.65478515625
44,134,,,2204.348876953125,2204.348876953125
45,137,,,1390.2403564453125,1390.2403564453125
46,140,,,1113.1632080078125,1113.1632080078125
47,143,,,1087.3619384765625,1087.3619384765625
48,146,,,1276.87451171875,1276.87451171875
49,149,,424.117431640625,,
49,149,,,1065.08740234375,1065.08740234375
50,152,,,1359.8280029296875,1359.8280029296875
