Test MSE,Train loss,epoch,step,val_loss
,,0,2,46289.87109375
,,1,5,20693.7734375
,,2,8,10680.97265625
,,3,11,21893.8125
,,4,14,12464.1298828125
,,5,17,4256.4267578125
,,6,20,2765.939697265625
,,7,23,2505.44287109375
,,8,26,4871.47998046875
,,9,29,6227.53955078125
,,10,32,5968.50048828125
,,11,35,2433.865234375
,,12,38,2006.7205810546875
,,13,41,3392.191650390625
,,14,44,2262.404296875
,,15,47,3860.0361328125
,2468.154052734375,16,49,
,,16,50,7012.43359375
,,17,53,5823.30712890625
,,18,56,3653.56884765625
,,19,59,3387.971435546875
,,20,62,1463.5736083984375
,,21,65,1395.2159423828125
,,22,68,1259.7210693359375
,,23,71,1188.8961181640625
,,24,74,1300.797607421875
1300.797607421875,,25,75,
